GRAND_ID,GDW_ID,Name,Main_use,Uses,Cap_mcm,River,Disch_ls,Reg_degre,Elev,area_km,perm_km,HUC2,Lat,Long
1718,831,Taylorsville Lake,Flood control,"Flood control (Main), Recreation (Sec), Other (Sec)",361.041,Salt River,13137,86.8,171,10.608,73.684,05,38.00202300000006,-85.30208299999998
1726,2957,Dewey Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",57.169,Johns Creek of Levisa Fork,6115,59.7,207,3.276,37.733,05,37.73442300000008,-82.72598499999998
1733,2969,R.D. Bailey Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",135.067,Guyandot River,19220,41.5,327,1.487,13.249,05,37.60045100000012,-81.82129999999995
1735,2978,Fishtrap Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",84.176,Levisa Fork of Big Sandy River,12349,52,236,2.706,24.6,05,37.42702000000003,-82.40583499999997
1739,2989,Buckhorn Lake,Flood control,"Flood control (Main), Recreation (Sec)",207.1,Middlefork Kentucky River,14560,45.1,238,2.254,40.237,05,37.33802700000008,-83.46993699999996
1740,843,Nolin Lake,Flood control,"Flood control (Main), Recreation (Sec)",751.7,Nolin River,24443,97.5,156,17.994,158.611,05,37.27845800000005,-86.24652899999995
1741,845,Green River Lake,Flood control,"Flood control (Main), Water supply (Sec), Recreation (Sec), Other (Sec)",892.1,Green River,25798,109.7,211,30.788,116.011,05,37.24791700000007,-85.33927699999998
1742,2999,John W. Flannagan Lake,Flood control,"Flood control (Main), Water supply (Sec), Recreation (Sec), Fisheries (Sec), Other (Sec)",179.7,Pound River,7853,72.6,432,2.784,34.036,05,37.23120400000007,-82.34791699999994
1752,144,Lake Barkley,Hydroelectricity,"Hydropower (Main), Flood control (Sec), Recreation (Sec), Navigation (Sec)",2568.1,Cumberland,713121,11.4,105,255.215,417.461,05,37.018747000000076,-88.21874799999995
1753,145,Kentucky Lake,Navigation,"Navigation (Main), Hydropower (Sec), Flood control (Sec), Recreation (Sec)",7560,Tennessee River,2141379,11.2,106,574.795,736.012,06,37.01029599999998,-88.26865199999997
1754,851,Laurel Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec)",550.87,Laurel,10576,161.1,311,19.031,141.596,05,36.959995000000035,-84.26747399999994
1755,853,Barren River Lake,Flood control,"Flood control (Main), Water supply (Sec), Recreation (Sec)",1005.5,Barren River,40916,77.9,166,32.011,154.425,05,36.89348600000005,-86.12247499999995
1756,147,Lake Cumberland,Hydroelectricity,"Hydropower (Main), Flood control (Sec), Recreation (Sec)",7510.7,Cumberland,235609,101.1,207,159.522,893.562,05,36.86781700000003,-85.14374999999995
1758,3024,Philpott Reservoir,Hydroelectricity,"Hydropower (Main), Water supply (Sec), Recreation (Sec), Fisheries (Sec), Other (Sec)",392.6,Smith River,9779,127.3,302,8.255,78.29,03,36.78200100000002,-80.02868899999999
1761,149,John H. Kerr Reservoir,Hydroelectricity,"Hydropower (Main), Water supply (Sec), Recreation (Sec), Fisheries (Sec), Other (Sec)",4148.8,Roanoke River,265021,49.6,93,180.923,665.14,03,36.59626000000003,-78.29478399999994
1762,862,Dale Hollow Lake,Hydroelectricity,"Hydropower (Main), Flood control (Sec), Recreation (Sec)",2104.3,Obey River,43141,154.7,194,89.645,365.186,05,36.538312000000076,-85.45025399999997
1763,863,South Holston Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec), Navigation (Sec)",942.4,South Fork of Holston River,34980,85.4,523,22.377,112.863,06,36.523027000000106,-82.08529099999998
1765,866,Boone Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec), Navigation (Sec)",238.6,South Fork of Holston River,95625,7.9,419,10.432,83.822,06,36.4389180000001,-82.434375
1767,870,Watauga Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec), Navigation (Sec)",835.1,Watauga River,26646,99.4,597,21.419,91.048,06,36.321600000000004,-82.12199299999997
1768,873,Old Hickory Lake,Hydroelectricity,"Hydropower (Main), Flood control (Sec), Recreation (Sec), Navigation (Sec)",699.719,Cumberland River,516596,4.1,135,58.485,279.955,05,36.29189000000007,-86.65886899999998
1770,877,Norris Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec), Navigation (Sec)",3147.8,Clinch River,134500,74.2,303,88.032,577.485,06,36.227217000000046,-84.09267999999997
1774,878,Cherokee Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec)",1900.8,Holston River,176702,34.1,317,71.118,284.833,06,36.164256000000066,-83.49753199999998
1775,879,J. Percy Priest Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec)",805.901,Stones River,39143,65.1,149,52.85,193.42,05,36.15526100000009,-86.61799699999995
1776,3047,W. Kerr Scott Reservoir,Water supply,"Water supply (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",89.824,Yadkin River,16925,70.7,320,5.159,37.934,03,36.132374000000006,-81.22820399999995
1777,882,Center Hill Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec)",2580.4,Caney Fork River,106111,77.1,199,59.547,331.866,05,36.09652700000005,-85.82557999999995
1781,884,Douglas Lake,Flood control,Flood control (Main),1900.8,French Broad River,284161,21.2,291,64.774,214.685,06,35.96336000000012,-83.53432199999997
1782,885,Falls Lake,Water supply,"Water supply (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",416.142,Neuse River,22357,178.6,74,38.458,177.605,03,35.945046,-78.58244199999996
1783,886,Melton Hill Lake,Navigation,"Navigation (Main), Hydropower (Sec), Recreation (Sec)",155.4,Clinch River,161567,3,243,17.549,135.352,06,35.882789000000045,-84.29671599999995
