GRAND_ID,avail_inf,avail_out,avail_stor
1762,0.781592249368155,0.9996840775063185,0.9997893850042123
1763,0,1,1
1765,0,1,0.9989469250210615
1767,0,1,1
1768,0.9985256950294861,0.999262847514743,0.9993681550126369
1770,0,1,1
1774,0,1,1
1775,0.8397219882055602,1,1
1776,0.9995787700084247,0.9998946925021062,0.9983150800336984
1777,0.9656697556866048,1,0.9984203875315922
1781,0,1,0.9994734625105307
1782,0.7454717775905645,1,1
1783,0,1,0.9977885425442291
1788,0,1,0.9989469250210615
1796,0.9364995787700084,0.9981044650379107,1
1797,0,1,0.995787700084246
1800,0,1,0.9937868576242629
1801,0,0.9787278854254423,1
1818,0,1,0.9984203875315922
1822,0,1,0.9937868576242629
1823,0,1,0.9972620050547599
1824,0,1,0.9951558550968829
1828,0,1,1
1829,0,1,0.9895745577085089
1833,0,1,0.9994734625105307
1834,0,1,1
1835,0,1,0.9832561078348778
1841,0,1,0.9983150800336984
1843,0,1,0.9953664700926707
1847,0,1,0.9924178601516428
1848,1,1,1
1851,0.9784119629317607,1,1
1862,0,1,0.9907329401853412
1863,0,1,0.9963142375737153
1864,1,1,1
1869,1,1,1
1879,0.9973673125526538,0.9568239258635215,0.9678812131423757
1883,0.9723041280539174,0.9756739679865206,0.9756739679865206
1896,0,1,0.9886267902274642
1910,0.9963142375737153,0.9998946925021062,1
1916,0,1,0.9885214827295703
