pars,period,Method,GRAND_ID,nrmse_stor,nrmse_release,kge_stor,kge_release,pbias_stor,pbias_release,nse_stor,nse_release,r2_stor,r2_release
default,Evaluation,sdp,63,120,109.2,0.05542812953370435,0.04020039061891467,25.5,-0.2,-0.44006276418129775,-0.19366852528556922,0.10601705255769846,0.017341505474228715
default,Evaluation,starfit,63,138.3,71,0.49129434325099774,0.5449472395135799,-37.8,4.2,-0.9119136400731538,0.4952855924764398,0.49471969692618145,0.49963517875066216
default,Fitting,gdrom,63,50.9,71,0.7989186037868203,0.7199113480621919,15.4,0.3,0.7407063086997849,0.49608811720784374,0.8663385995804433,0.5335482759710867
default,Fitting,h06,63,105,105.5,0.49240694826690257,0.23507701237769185,23.2,1.3,-0.1037205415435658,-0.11275145122587893,0.30896379031398524,0.08165296806515823
default,Fitting,natlake,63,80.2,93.8,0.39465303674539765,0.1835049104938946,17.4,-0.3,0.35649568192147807,0.11943428264300038,0.6245458735351171,0.1338206066036245
default,Fitting,rulebasedloc200,63,76.9,81.8,0.7218975537850985,0.6119389547182557,18.2,-0.5,0.40846292825204567,0.33145742591776484,0.6243724883172589,0.3963943007245197
default,Fitting,sdp,63,122.3,114.8,0.10803997418660105,0.06237141029671389,37,-1.1,-0.4956550159019615,-0.3192888980568489,0.232394822845814,0.01316446232834212
default,Fitting,starfit,63,108.4,82.2,0.5411050513757127,0.49278127688356743,-30.3,14.8,-0.17629218062484386,0.32485303810423627,0.5401229986756332,0.35830400298952897
fitted,Evaluation,gdrom,63,75.3,70,0.7314047021682237,0.7624555971854813,-7.6,-0.2,0.4325814904248422,0.510563655930665,0.604712452541939,0.5878181654473781
fitted,Evaluation,h06,63,84,92.9,0.39447528109969854,0.2058289196222275,-2,-0.9,0.29386688972531316,0.13731048028931736,0.29975895434269506,0.14934996518969162
fitted,Evaluation,natlake,63,78.4,88.9,0.4358687211546427,0.15808557288722735,-8,-0.4,0.38546383385327077,0.20937581037949604,0.4557997573433653,0.22869656443442224
fitted,Evaluation,rulebasedloc200,63,36.9,51.7,0.8734416130648661,0.8577034044446241,-5.1,-0.7,0.8639872073109087,0.7326290744772,0.887125989102634,0.7433128035175228
fitted,Evaluation,sdp,63,79.6,96.1,0.47671451630084594,0.18640518815748908,-2.8,-0.9,0.36678719909600177,0.07641795076804736,0.3748006672411733,0.11340159020697724
fitted,Evaluation,starfit,63,107.7,71.3,0.5835146945027747,0.6780796707056904,-31.7,6,-0.16073441378720443,0.49097891746844813,0.8022102304896221,0.5143061493337063
fitted,Fitting,gdrom,63,21.9,56,0.9683124859933585,0.8436279502665689,0.9,0.4,0.9521325854589114,0.6859751570694164,0.9525976870249908,0.7118953969933605
fitted,Fitting,h06,63,74.5,98.4,0.5520365452676002,0.16559694366355004,3.5,0.8,0.44560974937377196,0.03138563561890151,0.4524961456778397,0.09062448011300485
fitted,Fitting,natlake,63,67.9,91.1,0.4922677385043257,0.1704619534262406,-0.5,0.3,0.5395064745497689,0.16914150974233166,0.5863514370069489,0.16916466201170544
fitted,Fitting,rulebasedloc200,63,47.1,69.7,0.8563468005209489,0.7125946590035337,-2.4,0.5,0.7777630975409815,0.5141691765246346,0.7819324279719829,0.538854946398398
fitted,Fitting,sdp,63,67.4,96.3,0.6100781020260955,0.20676077430084638,3.7,-0.1,0.5456162508456619,0.07237290319978062,0.5541959424460009,0.11760261723189983
fitted,Fitting,starfit,63,99.2,82.7,0.5747038386248211,0.5848882435654408,-31.3,15.9,0.015291637433359595,0.31595062679220687,0.690452836570345,0.4007685600057165
default,Evaluation,gdrom,80,80.4,74.3,0.7141028830362532,0.7049725876064519,-9.5,-0.3,0.3534517503878951,0.4478199305938715,0.5404163771106111,0.5038962834541093
default,Evaluation,h06,80,89.1,81.1,0.41147121388518304,0.3985374136139147,2.7,-0.4,0.20670599706716297,0.34165381152826424,0.2501327798431068,0.34208001299382723
default,Evaluation,natlake,80,140.6,103,-0.1557834593783003,0.5000508869955045,27.8,-0.1,-0.9763059117545947,-0.06193163297758386,1.4991985825788377e-5,0.2546113213218466
